SKU	Product Name	Product Description	Bullet Points	Manufacturer	Brand Name	Price	Currency	In Stock	Image URL	Image URL1	Image URL2	
MTYSPFSM_47	Playmobil Furnished Shopping Mall	Find new and exciting fashion favorites at the Furnished Shopping Mall! The perfect place for some retail therapy, the mall features a variety of fun shops! As kids visit each store, they will love the interchangeable outfits, allowing them to try on different outfits and choose each figures personal style. Before checking out the stores, stop by a functioning ATM in the lobby for some spending money. In the bridal shop, try on the stunning wedding dress with jewel detailing and floor-length lace veil! Then, head across the lobby to find the hottest new bags, including purses, clutches, rolling suitcases and more. After finding the perfect purse, take the functioning elevator to the second level for even more stylish boutiques. Get some inspirations from the chic mannequins in the upstairs foyer before trying on an outfit in the changing rooms or picking out some cool sports gear. Once the shopping adventures are complete, visitors can relax and enjoy a refreshing treat in the caf area! Set also includes seven figures, five mannequins, various dressed, skirts, handbags, cash registers, ATM with money, full length mirrors, hats, water gear, sandals, flowers, potted shrubs, ice cream and tons of other accessories. Figures measure approximately 2.95 tall.	<ul><li>                Ages 5 and up            </li></ul>	MMindtoys	MMindtoys	163.99	CDN	5	http://www.mastermindtoys.com/images/t/29-29742-BigImage.image.ashx			
MTYSSBKC_193	Schleich Big Knight's Castle	The knights gear themselves up to defend the castle against an attack. The enemy is already at the gates. The castle is however protected by massive walls, and from the tower one has a clear view far across the country. Whoever plans to take the castle needs to be very strong and cunning.  This knight's castle will kick-start the imagination with its high-quality, detailed construction featuring a trap door and secret passageway. Its the perfect setting to play with your other Schleich knight figures (sold separately).	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	159.99	CDN	5	http://www.mastermindtoys.com/images/t/29-32831-BigImage.image.ashx			
MTYSPPDC_342	Playmobil Princess Dream Castle	Enjoy this Playmobil Princess Fantasy Castle and transport yourself to a fairy tail land. Hide the princess' valuables in the top secret hiding place and enjoy countless romantic dances on the revolving dance floor. Also included are a life-size diadem, bracelet and ring for the Castle-Owner! Includes: castle, 1 prince figure, 1 princess figure, revolving dance floor, accessories and life-size diadem, bracelet and ring. Castle measures approximately 30'' wide x 26'' high. Figures measure approximately 2.95'' high.	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	159.99	CDN	5	http://www.mastermindtoys.com/images/t/29-24391-BigImage.image.ashx	http://www.mastermindtoys.com//image.aspx?blobid=7a11e405-be98-4da1-a4ee-e413243db0e3&blobProvider=MMTDiskStorageProvider		
MTYSPGMD_41	Playmobil Grand Mansion Dollhouse	Welcome home to the Playmobil Grand Mansion Dollhouse! This luxury home features 2 floating staircases, window shutters that open and close and a real ringing doorbell! 2 floors plus a functional attic space give you 5 spacious rooms (kitchen, living room, bedroom, children's bedroom and bathroom) that are just waiting to be furnished! A Playmobil couple and some pretty potted flowers are included to get your decorating started (other figures and furniture sold separately). Adult assembly required. Accessories sold separately. Measures approximately 25" long x 17.7" wide x 24" high. Doorbell requires 2 AAA batteries (NOT INCLUDED).	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	151.99	CDN	5	http://www.mastermindtoys.com/images/t/29-22681-BigImage.image.ashx			
MTYSPH_303	Playmobil Hotel	Check into the Playmobil Large Furnished Hotel for an extended getaway! Start off in the lobby decorated with a check-in counter, safe, room keys, computer monitor, magazine rack, and more. Travel upstairs in the functioning elevator, and use the key cards to enter one of two rooms. Whether traveling with a baby or young children, the crib with foldable sides or two bunk beds ensure that the hotel can accommodate families of all sizes. Each room includes two windows, bed, side table, chair, phone, television, clock, as well as a bathroom with shower and toilet. Room 102 also includes a balcony with lounge chair for added outdoor relaxation. After a good night sleep, guests can enjoy breakfast in the hotel caf furnished with table, chairs, dishes, silverware, and a highchair. A waiter is on staff to serve a large selection of food. The hotel also has a game room with lots of toys offering a great space for kids to have some indoor fun! This set can be upgraded with the Playmobil Luxury Hotel Suite (sold separately). Includes complete hotel, 8 figures, luggage, surfboard, skateboard, plants, and a large variety of additional accessories for endless play. Adult figures measure approximately 2.95 tall and children measure approximately 2 tall. Hotel measures approximately 27.2" long x 16" tall.	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	151.99	CDN	5	http://www.mastermindtoys.com/images/t/29-27545-BigImage.image.ashx	http://www.mastermindtoys.com//image.aspx?blobid=7bc1b8ad-6145-4a53-a53f-86471e600a9c&blobProvider=MMTDiskStorageProvider		
MTYSPGADC_525	Playmobil Great Ancient Dragon Castle	Enemies Beware! The Great Ancient Dragon Castle is protected by a fierce fire-breathing dragon! When not flying around, the yellow dragon can guard the castle from the attachable landing platform. This fortified castle also includes plenty of features to help the soldiers defend it. The functioning portcullis keeps unwanted visitors out, while anyone who manages to sneak into the castle will be caught off guard by the hidden trapdoor! The trapdoor can also act as a secret gateway for the castle warriors! Keep enemies at bay using the functioning crossbow with flaming arrows. The rocky landscape also conceals a secret cave where kids can hide the sacred dragon fire which lights up! Set also includes four figures, helmets, shields and additional battle gear, skeleton, torches, flags and other accessories. Figures measure approximately 2.95 tall.  Requires 1 AAA battery (sold separately).	<ul><li>                Ages 5 and up            </li></ul>	MMindtoys	MMindtoys	151.99	CDN	0	http://www.mastermindtoys.com/images/t/29-29670-BigImage.image.ashx			
MTYSPFWS_158	Playmobil Farm with Silo	This fully-loaded farm features everything from solar panels to a working silo that dispenses 'grain'! The barn contains a cow milking plant and pig pen, and loads can really be hoisted using the pulley on the roof! The huge gate is sized just right for the Playmobil Hay Baler Tractor with Trailer (sold separately) to drive through, and there are outdoor enclosures where all your farm animal friends can play. A must-have for any Playmobil farm collection! Includes: barn with working pulley, silo with 'grain' pellets, cowshed, pig pen, 1 child and 2 adult farmer figures, 4 cows, 4 pigs, 3 cats, rooster, tools, feed bags, and much, much more! Farm measures approximately 29" long x 16" wide x 10.4" high. Adult figures measure approximately 2.95" high.	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	135.99	CDN	5	http://www.mastermindtoys.com/images/t/29-23723-BigImage.image.ashx			
MTYSPRFT2G_297	Playmobil RC Freight Train 2.4 GHz	Attach the train car loaded with cargo and transport it down the tracks with the Playmobil RC Freight Train! The included multi-functional RC module not only controls the trains movement but also activates the sets special effects, including front and rear lights, warning sound, and engine noise! The front car houses the conductor, who can enter and exit the car through the side door. The cargo car comes equipped with a side door that folds down, making it easy to load and unload goods. Once the train is fully loaded, travel around the large oval track! Includes remote control with speed gauge, 2-car functioning train, assorted track pieces, two figures and three containers. Figures measure approximately 2.95 tall. Oval track measures approximately 57 long and 46 wide. Train measures approximately 25.2 long x 4.7 wide x 5.9 tall. Requires one 9V battery and six AA batteries (NOT INCLUDED).	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	127.99	CDN	5	http://www.mastermindtoys.com/images/t/29-27540-BigImage.image.ashx	http://www.mastermindtoys.com//image.aspx?blobid=8b9e039c-3361-46ac-a02a-3460a99c371b&blobProvider=MMTDiskStorageProvider		
MTYSPLHFWP_306	Playmobil Large Horse Farm with Paddock	Introducing the outstanding Large Horse Farm with Paddock from Playmobil! This extravagant playset will allow children to let their imaginations run wild with the extensive amount of accessories provided! The farm itself features 4 stables and an upper attic space for extra storage. Kids can use the fence pieces to create an enclosed area for horses to gallop and play! This playset also includes 2 people figures, 2 horses, 1 foal, cats, birds, hedgehogs, farming equipment, saddles, grooming tools, animal food, prize ribbons, a beautiful tree and other accessories! Measures approximately 29.5" long x 11.4" wide x 18" high.	<ul><li>                Ages 5 and up            </li></ul>	MMindtoys	MMindtoys	123.99	CDN	5	http://www.mastermindtoys.com/images/t/29-26781-BigImage.image.ashx	http://www.mastermindtoys.com//image.aspx?blobid=6a7c94d5-8d23-4c8b-8b80-3ac5cb0a4411&blobProvider=MMTDiskStorageProvider		
MTYSPCLMLM_50	Playmobil City Life Modern Luxury Mansion	Live a life of lavishness in the Modern Luxury Mansion. The functioning doorbell will let you know your guests have arrived for a luxurious day. Greet them with a cup of coffee from the fully automatic coffee machine and take them on a grand tour. The lockable safe hidden behind the painting is the perfect place to store all of your valuable goods. The large living room windows provide a great view of the surrounding area. Play with this set on its own or combine with the Guest Suite set (#5586), or Swimming Pool with Terrace set (#5575) for added fun (all other sets sold separately).  Includes two figures, mansion, trees, safe, planters, chairs, security camera, coffee machine, painting, jewelry, laptop, and other accessories. Figures measure approximately 2.95 tall.  Requires 2 AAA batteries (NOT INCLUDED).	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	111.99	CDN	5	http://www.mastermindtoys.com/images/t/29-33894-BigImage.image.ashx	http://www.mastermindtoys.com//image.aspx?blobid=9b680e00-982e-4d0e-b2c5-91a11965132c&blobProvider=MMTDiskStorageProvider		
